District,Service_Name,Department,Users_Reported,Satisfaction_Score_(%),Year,Month
Musanze,eTax Portal,Ministry of Health,910,75.45,2022,Unknown
Gasabo,Land Registration Portal,Immigration Department,3822,93.6,2023,December
Rusizi,eTax Portal,Rwanda Revenue Authority,516,82.9,2024,March
Nyagatare,E-Visa Service,Ministry of ICT,4476,75.45,2024,June
Nyagatare,Digital Health Records,Rwanda Revenue Authority,2447,75.45,2023,May
Rubavu,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2022,June
Musanze,eTax Portal,Rwanda Revenue Authority,2447,98.7,2021,August
Burera,Digital Health Records,National Land Authority,2447,54.1,2023,December
Nyarugenge,eTax Portal,Ministry of ICT,2447,84,2021,April
Nyamagabe,Online Business Registration,Ministry of Health,2447,70.9,2021,September
Kicukiro,Digital Health Records,Immigration Department,2447,75.45,2023,August
Gasabo,Digital Health Records,Immigration Department,4893,58.7,2024,June
Nyarugenge,Irembo Services,Ministry of Health,524,86.4,2021,August
Huye,Online Business Registration,National Land Authority,2447,92.3,2021,February
Nyagatare,Digital Health Records,Immigration Department,2447,75.45,2022,August
Nyanza,Land Registration Portal,Rwanda Revenue Authority,2447,75.45,2024,December
Gasabo,eTax Portal,Immigration Department,2447,52,2021,December
Burera,Land Registration Portal,Ministry of ICT,2447,75.7,2022,August
Huye,eTax Portal,Ministry of ICT,2447,71.9,2024,June
Burera,E-Visa Service,Ministry of Health,2447,75.45,2023,February
Nyamagabe,eTax Portal,National Land Authority,1578,75.45,2023,May
Nyagatare,Irembo Services,National Land Authority,3606,89.6,2022,January
Rulindo,E-Visa Service,Immigration Department,696,63.8,2023,January
Rusizi,Digital Health Records,National Land Authority,2938,64.2,2021,December
Gasabo,eTax Portal,National Land Authority,2485,60.5,2024,February
Rwamagana,Irembo Services,Immigration Department,2447,73.3,2021,January
Nyamagabe,Land Registration Portal,Ministry of ICT,2447,86.7,2021,Unknown
Karongi,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2023,June
Rusizi,E-Visa Service,Ministry of Health,2447,95.5,2021,November
Rubavu,Irembo Services,Ministry of ICT,2447,75.45,2023,February
Huye,Land Registration Portal,National Land Authority,2447,98.6,2024,November
Karongi,E-Visa Service,National Land Authority,2447,75.45,2024,June
Musanze,Digital Health Records,Immigration Department,4064,75.45,2021,March
Nyarugenge,eTax Portal,Ministry of Health,2447,54.9,2022,December
Gakenke,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2023,April
Musanze,Land Registration Portal,Immigration Department,2447,75.45,2023,September
Bugesera,eTax Portal,Immigration Department,2447,75.45,2021,March
Bugesera,Online Business Registration,Rwanda Revenue Authority,2447,82.6,2023,September
Rusizi,E-Visa Service,Rwanda Revenue Authority,1550,75.45,2023,March
Kicukiro,Online Business Registration,National Land Authority,2447,92.9,2022,June
Rulindo,Land Registration Portal,Immigration Department,2447,75.45,2022,September
Burera,eTax Portal,Ministry of ICT,4961,75.45,2021,July
Musanze,E-Visa Service,Ministry of ICT,2447,98.5,2022,August
Gakenke,E-Visa Service,Immigration Department,2447,75.45,2021,April
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2024,July
Burera,E-Visa Service,Ministry of Health,387,66.5,2021,July
Ngoma,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2024,November
Bugesera,E-Visa Service,Rwanda Revenue Authority,4043,57.3,2021,March
Huye,Irembo Services,Ministry of Health,2447,62.4,2023,March
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,429,97.4,2022,November
Kicukiro,E-Visa Service,Ministry of Health,2112,75.45,2024,November
Nyagatare,Irembo Services,Immigration Department,114,69,2021,July
Ngoma,eTax Portal,Ministry of Health,2447,86.8,2022,July
Nyarugenge,Digital Health Records,Ministry of ICT,2447,76.7,2021,January
Nyagatare,Irembo Services,Ministry of Health,1545,75.45,2022,December
Musanze,Land Registration Portal,Rwanda Revenue Authority,441,72.3,2022,October
Gakenke,eTax Portal,Immigration Department,4564,75.45,2021,April
Rusizi,E-Visa Service,Ministry of Health,4524,75.45,2024,August
Rulindo,Online Business Registration,Rwanda Revenue Authority,3611,75.45,2024,October
Bugesera,Irembo Services,Ministry of Health,3149,56.1,2023,July
Rwamagana,eTax Portal,Immigration Department,2447,96.8,2022,July
Bugesera,eTax Portal,Immigration Department,2447,82,2023,January
Bugesera,E-Visa Service,Ministry of ICT,2447,72.6,2023,December
Huye,Digital Health Records,Immigration Department,4648,54.4,2021,April
Rusizi,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2021,April
Nyarugenge,Online Business Registration,Immigration Department,854,75.45,2021,May
Rwamagana,Online Business Registration,Immigration Department,2447,75.45,2022,February
Burera,Land Registration Portal,Rwanda Revenue Authority,2823,75.45,2021,December
Nyagatare,eTax Portal,Rwanda Revenue Authority,1620,75.45,2021,June
Rwamagana,Land Registration Portal,Immigration Department,2740,98.7,2022,February
Rulindo,Land Registration Portal,Immigration Department,2447,72.7,2022,February
Gakenke,eTax Portal,Ministry of Health,552,76.1,2024,October
Rusizi,Online Business Registration,Immigration Department,4543,75.45,2021,February
Burera,eTax Portal,Ministry of ICT,4538,75.45,2021,December
Nyagatare,Digital Health Records,Ministry of ICT,1534,75.45,2021,Unknown
Karongi,eTax Portal,Ministry of ICT,913,75.45,2024,September
Kicukiro,E-Visa Service,Ministry of ICT,613,75.45,2021,March
Nyagatare,eTax Portal,Immigration Department,2447,59.4,2024,June
Kicukiro,Irembo Services,Ministry of Health,1807,75.45,2023,June
Karongi,Digital Health Records,Rwanda Revenue Authority,1728,61.7,2024,April
Gakenke,Irembo Services,Immigration Department,2447,75.45,2023,August
Rusizi,Online Business Registration,National Land Authority,1772,83.1,2021,February
Nyarugenge,Online Business Registration,Immigration Department,2447,75.45,2023,May
Huye,E-Visa Service,Ministry of ICT,2447,75.45,2024,November
Karongi,E-Visa Service,National Land Authority,1647,75.45,2022,Unknown
Huye,E-Visa Service,Immigration Department,2447,93.2,2023,August
Kayonza,Digital Health Records,Ministry of Health,2447,75.45,2023,September
Gakenke,Land Registration Portal,Ministry of Health,2447,75.45,2021,November
Rulindo,eTax Portal,National Land Authority,2031,83.8,2024,June
Rubavu,Irembo Services,Rwanda Revenue Authority,2447,75.45,2023,October
Rusizi,Digital Health Records,National Land Authority,2447,69.7,2023,July
Rubavu,Irembo Services,Ministry of Health,2447,75.45,2023,October
Nyagatare,eTax Portal,National Land Authority,2447,75.45,2023,July
Burera,Land Registration Portal,Ministry of ICT,2725,80.2,2022,October
Burera,Irembo Services,Ministry of ICT,1332,98.9,2024,February
Rusizi,Digital Health Records,Rwanda Revenue Authority,2447,99.7,2021,June
Nyamagabe,eTax Portal,National Land Authority,2447,89.1,2021,June
Gakenke,E-Visa Service,National Land Authority,3798,64.4,2022,Unknown
Bugesera,E-Visa Service,National Land Authority,2447,93.9,2024,August
Nyagatare,E-Visa Service,National Land Authority,2048,75.45,2023,October
Rubavu,eTax Portal,Rwanda Revenue Authority,2447,75.45,2022,March
Nyanza,Land Registration Portal,Ministry of Health,1545,95.1,2024,Unknown
Kayonza,Digital Health Records,Immigration Department,3813,89.9,2023,November
Nyarugenge,E-Visa Service,Rwanda Revenue Authority,1903,93.4,2022,December
Kicukiro,eTax Portal,Ministry of Health,2447,75.45,2024,February
Musanze,Irembo Services,Ministry of Health,3631,82.5,2021,May
Rubavu,E-Visa Service,Ministry of Health,3507,75.45,2021,October
Rwamagana,Online Business Registration,National Land Authority,1686,80.5,2024,October
Nyamagabe,Digital Health Records,Rwanda Revenue Authority,3049,75.45,2021,February
Nyarugenge,Irembo Services,Ministry of Health,748,77.4,2024,November
Gakenke,Land Registration Portal,Immigration Department,2447,61.9,2023,March
Gakenke,Land Registration Portal,Immigration Department,904,75.45,2024,June
Rulindo,eTax Portal,Ministry of ICT,2447,53.7,2023,February
Nyanza,Land Registration Portal,Ministry of Health,2447,75.45,2022,April
Rusizi,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2024,May
Burera,E-Visa Service,National Land Authority,4981,75,2022,February
Gasabo,Irembo Services,Ministry of ICT,2447,75.45,2021,March
Musanze,E-Visa Service,Ministry of Health,4268,75.45,2023,June
Burera,Digital Health Records,National Land Authority,2447,75.45,2024,December
Rusizi,E-Visa Service,Rwanda Revenue Authority,2377,55.4,2022,March
Karongi,eTax Portal,Rwanda Revenue Authority,2447,69.9,2023,September
Musanze,E-Visa Service,Ministry of ICT,2447,75.45,2023,July
Ngoma,Digital Health Records,Ministry of ICT,1980,75.45,2021,July
Nyamagabe,Irembo Services,Ministry of Health,658,75.45,2021,October
Rwamagana,Online Business Registration,National Land Authority,1197,85.9,2023,March
Rulindo,Irembo Services,Immigration Department,2447,76.1,2023,October
Gasabo,Irembo Services,National Land Authority,2447,59.8,2024,July
Rusizi,eTax Portal,Rwanda Revenue Authority,2861,94.8,2023,July
Nyanza,Digital Health Records,Rwanda Revenue Authority,1419,94.9,2024,March
Rwamagana,Irembo Services,Ministry of Health,2447,82.7,2023,August
Nyanza,Irembo Services,Immigration Department,2961,53,2021,November
Musanze,Online Business Registration,Ministry of Health,1893,74,2024,September
Ngoma,Land Registration Portal,Rwanda Revenue Authority,2447,55.1,2022,December
Nyanza,Online Business Registration,Rwanda Revenue Authority,2447,80.9,2021,November
Huye,Digital Health Records,National Land Authority,4786,64.2,2024,March
Rubavu,Digital Health Records,Immigration Department,2447,75.45,2024,September
Bugesera,eTax Portal,National Land Authority,2447,75.45,2022,March
Rwamagana,E-Visa Service,National Land Authority,673,75.45,2024,August
Burera,E-Visa Service,Ministry of Health,3693,85.8,2023,May
Nyanza,E-Visa Service,National Land Authority,2099,75.45,2022,March
Gasabo,Land Registration Portal,Ministry of ICT,3773,56.1,2021,March
Karongi,Digital Health Records,Ministry of ICT,2447,75.45,2021,June
Kayonza,Land Registration Portal,National Land Authority,4140,59.1,2023,Unknown
Gasabo,E-Visa Service,Immigration Department,2106,59.2,2021,August
Musanze,E-Visa Service,National Land Authority,3220,75.45,2024,October
Bugesera,Online Business Registration,Rwanda Revenue Authority,2305,75.45,2024,January
Ngoma,Digital Health Records,Rwanda Revenue Authority,2447,75.45,2023,Unknown
Nyagatare,E-Visa Service,Immigration Department,3241,75.45,2021,June
Kicukiro,Irembo Services,Ministry of Health,2447,75.45,2021,January
Nyagatare,Digital Health Records,Ministry of ICT,4732,76.3,2023,August
Nyarugenge,Land Registration Portal,Ministry of ICT,2447,97.6,2022,March
Nyarugenge,Digital Health Records,Ministry of Health,2447,81.9,2021,April
Kayonza,eTax Portal,National Land Authority,2447,94.2,2022,Unknown
Nyarugenge,Irembo Services,Immigration Department,148,89.7,2021,July
Burera,E-Visa Service,National Land Authority,2447,75.45,2021,September
Rubavu,eTax Portal,Ministry of Health,2447,75.45,2021,September
Rubavu,Online Business Registration,Immigration Department,2919,75.45,2021,November
Kayonza,Digital Health Records,Ministry of ICT,3841,77.8,2024,August
Burera,Digital Health Records,Ministry of ICT,4117,75.45,2022,July
Rwamagana,Online Business Registration,National Land Authority,4543,75.45,2022,November
Rusizi,eTax Portal,Rwanda Revenue Authority,2447,75.45,2021,August
Nyanza,Irembo Services,Ministry of Health,2447,90.5,2021,July
Nyamagabe,E-Visa Service,Ministry of Health,1268,81.2,2022,December
Huye,eTax Portal,National Land Authority,4785,71.2,2024,Unknown
Burera,Land Registration Portal,Ministry of Health,2447,58.4,2023,August
Huye,E-Visa Service,Ministry of ICT,1004,93.5,2023,August
Ngoma,eTax Portal,National Land Authority,4615,60.8,2022,March
Gakenke,Irembo Services,Ministry of ICT,2447,58.9,2021,February
Bugesera,Digital Health Records,Immigration Department,2447,75.45,2021,October
Rulindo,eTax Portal,Immigration Department,3486,60.3,2024,January
Nyanza,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2023,August
Rulindo,Irembo Services,Ministry of Health,3404,81.6,2024,January
Musanze,Digital Health Records,Immigration Department,275,75.45,2023,April
Nyagatare,Irembo Services,Ministry of Health,4943,63.7,2022,May
Nyagatare,E-Visa Service,Ministry of ICT,1009,84.8,2023,January
Nyarugenge,Online Business Registration,National Land Authority,2447,72.1,2024,May
Karongi,E-Visa Service,Immigration Department,865,85.9,2024,April
Gasabo,E-Visa Service,National Land Authority,2447,75.45,2024,September
Burera,Land Registration Portal,Immigration Department,2447,56.4,2022,May
Nyagatare,Irembo Services,Ministry of Health,2447,75.45,2023,March
Nyagatare,Irembo Services,Immigration Department,2447,78.9,2023,June
Gasabo,eTax Portal,Immigration Department,2447,75.45,2024,August
Nyarugenge,Online Business Registration,Ministry of ICT,2447,54.3,2023,October
Kicukiro,Online Business Registration,Rwanda Revenue Authority,2447,79.8,2021,December
Nyagatare,Land Registration Portal,Ministry of ICT,3470,66.2,2021,June
Nyarugenge,Online Business Registration,National Land Authority,351,67.2,2021,July
Kicukiro,Irembo Services,Ministry of Health,656,53.5,2023,August
Karongi,Land Registration Portal,Ministry of Health,749,75.45,2022,September
Nyarugenge,Online Business Registration,Immigration Department,1189,90,2022,September
Nyanza,Land Registration Portal,Ministry of Health,2350,75.45,2022,February
Nyagatare,Online Business Registration,Rwanda Revenue Authority,3025,75.45,2022,October
Rusizi,Online Business Registration,Rwanda Revenue Authority,2447,75.45,2021,February
Kayonza,eTax Portal,Immigration Department,2447,66.2,2021,May
Huye,Online Business Registration,Immigration Department,2115,75.45,2024,August
Burera,Land Registration Portal,National Land Authority,619,75.45,2023,September
Rubavu,Irembo Services,Immigration Department,2447,68.1,2023,Unknown
Kayonza,eTax Portal,Ministry of ICT,2447,75.45,2022,June
Nyagatare,Online Business Registration,Ministry of ICT,2447,75.45,2021,September
Kayonza,Online Business Registration,Ministry of ICT,2447,75.45,2022,Unknown
Nyamagabe,Land Registration Portal,Rwanda Revenue Authority,2447,98.1,2024,April
Huye,eTax Portal,Ministry of Health,2447,84.5,2023,January
Musanze,Online Business Registration,National Land Authority,2447,75.45,2023,August
Musanze,Irembo Services,Immigration Department,2447,54.8,2022,December
Nyamagabe,E-Visa Service,National Land Authority,2447,75.45,2024,August
Bugesera,Irembo Services,Rwanda Revenue Authority,1891,75.45,2023,September
Nyamagabe,Online Business Registration,Immigration Department,2505,99.1,2024,April
Nyamagabe,Irembo Services,Immigration Department,3000,96.4,2024,July
Rulindo,eTax Portal,Rwanda Revenue Authority,4181,56,2022,February
Kicukiro,Online Business Registration,Ministry of Health,4165,57.6,2021,December
Musanze,Land Registration Portal,Immigration Department,2447,75.45,2022,Unknown
Kicukiro,eTax Portal,Ministry of Health,2447,77,2021,November
Gakenke,Irembo Services,Rwanda Revenue Authority,1021,75.45,2024,Unknown
Karongi,Online Business Registration,National Land Authority,2447,75.45,2021,April
Musanze,eTax Portal,Immigration Department,2447,75.45,2024,May
Nyagatare,Irembo Services,Ministry of Health,2824,75.45,2023,Unknown
Huye,Online Business Registration,Immigration Department,903,75.45,2023,January
Huye,E-Visa Service,Ministry of Health,2447,75.45,2023,August
Burera,Digital Health Records,Immigration Department,2447,55.9,2022,May
Rulindo,Land Registration Portal,Immigration Department,2447,75.45,2022,June
Rubavu,Irembo Services,Immigration Department,2447,75.45,2024,Unknown
Nyamagabe,E-Visa Service,National Land Authority,4983,96.8,2023,Unknown
Rwamagana,Irembo Services,Immigration Department,2541,75.5,2022,February
Rusizi,Digital Health Records,Ministry of Health,2447,69.8,2023,August
Rulindo,Digital Health Records,National Land Authority,2447,75.45,2022,Unknown
Nyagatare,eTax Portal,Ministry of ICT,54,75.8,2021,February
Nyarugenge,Land Registration Portal,Ministry of Health,4919,89.3,2021,July
Rulindo,Land Registration Portal,Ministry of Health,2447,99.6,2023,January
Burera,Irembo Services,Ministry of ICT,4192,75.45,2024,April
Musanze,Digital Health Records,National Land Authority,2447,75.45,2022,April
Kicukiro,Land Registration Portal,Immigration Department,2447,77,2022,February
Burera,Online Business Registration,Ministry of Health,1743,75.45,2021,December
Gasabo,Land Registration Portal,Ministry of ICT,2447,75.45,2021,October
Nyarugenge,Irembo Services,Immigration Department,880,75.45,2024,December
Nyagatare,E-Visa Service,National Land Authority,2447,75.45,2024,June
Rwamagana,E-Visa Service,Ministry of Health,1419,54,2024,Unknown
Nyamagabe,Land Registration Portal,Immigration Department,2447,51.1,2023,December
Kayonza,eTax Portal,Immigration Department,2888,75.45,2021,October
Kayonza,Digital Health Records,Rwanda Revenue Authority,1981,75.45,2023,November
Huye,E-Visa Service,Ministry of ICT,2447,82,2021,July
Gakenke,Irembo Services,Immigration Department,4779,78.8,2021,March
Kicukiro,Irembo Services,National Land Authority,2447,75.45,2022,October
Rwamagana,Digital Health Records,Rwanda Revenue Authority,609,80.3,2021,March
Gakenke,Digital Health Records,Immigration Department,4633,75.45,2021,Unknown
Gasabo,Digital Health Records,Immigration Department,3393,75.45,2023,April
Gakenke,E-Visa Service,National Land Authority,2447,75.1,2021,Unknown
Rusizi,Irembo Services,Rwanda Revenue Authority,1520,91.3,2023,April
Rulindo,Digital Health Records,Rwanda Revenue Authority,2344,75.45,2024,January
Ngoma,E-Visa Service,Ministry of ICT,2447,75.45,2021,January
Nyamagabe,Digital Health Records,Immigration Department,1729,75.45,2021,October
Burera,Irembo Services,Ministry of ICT,2794,75.45,2023,June
Kayonza,Irembo Services,Rwanda Revenue Authority,2447,75.45,2024,September
Rubavu,eTax Portal,Ministry of ICT,3168,79.7,2022,May
Huye,Land Registration Portal,National Land Authority,2447,75.45,2024,October
Ngoma,Online Business Registration,Ministry of Health,3109,63.9,2023,September
Huye,Irembo Services,National Land Authority,2447,82,2024,March
Kicukiro,Online Business Registration,Rwanda Revenue Authority,2529,75.45,2023,June
Burera,eTax Portal,National Land Authority,2447,82.5,2023,December
Kicukiro,Land Registration Portal,Rwanda Revenue Authority,1807,69.3,2022,May
Karongi,E-Visa Service,National Land Authority,2447,75.45,2021,May
Kicukiro,Land Registration Portal,Immigration Department,2447,75.45,2023,October
Kicukiro,Land Registration Portal,Immigration Department,2447,99.7,2023,May
Kayonza,E-Visa Service,National Land Authority,1681,81,2022,Unknown
Nyanza,eTax Portal,Ministry of ICT,1065,99.2,2023,September
Nyanza,Digital Health Records,Rwanda Revenue Authority,2447,58.5,2021,November
Rwamagana,Land Registration Portal,Immigration Department,2447,75.45,2022,Unknown
Kicukiro,Land Registration Portal,Rwanda Revenue Authority,2447,63.3,2021,February
Nyanza,eTax Portal,Immigration Department,2447,75.45,2021,March
Nyarugenge,Digital Health Records,Ministry of Health,2447,75.45,2022,July
Rwamagana,Land Registration Portal,National Land Authority,2447,99.8,2023,February
Nyarugenge,Land Registration Portal,Immigration Department,2447,75.45,2021,July
Nyarugenge,Digital Health Records,National Land Authority,1618,75.45,2021,January
Nyagatare,Irembo Services,Ministry of Health,2788,75.45,2021,May
Gakenke,E-Visa Service,Rwanda Revenue Authority,3963,71.3,2021,Unknown
Musanze,Irembo Services,National Land Authority,4430,89.6,2022,November
Nyagatare,E-Visa Service,Immigration Department,4157,72.5,2022,March
Kicukiro,E-Visa Service,Ministry of Health,2447,67.7,2024,December
Nyarugenge,Land Registration Portal,Immigration Department,2447,75.45,2024,Unknown
Nyamagabe,E-Visa Service,Ministry of Health,2132,58.8,2021,March
Nyanza,Online Business Registration,Ministry of Health,2447,75.45,2023,April
Karongi,Digital Health Records,Immigration Department,825,75.45,2021,March
Rusizi,Digital Health Records,National Land Authority,2447,75.45,2023,December
Huye,Online Business Registration,Rwanda Revenue Authority,467,89.5,2021,June
Karongi,Digital Health Records,Rwanda Revenue Authority,666,75.45,2024,Unknown
Nyagatare,eTax Portal,Ministry of Health,2447,59.5,2024,April
Rusizi,Digital Health Records,Immigration Department,1566,60.8,2023,February
Gakenke,Digital Health Records,Ministry of Health,2447,91.7,2021,Unknown
Rubavu,Digital Health Records,Rwanda Revenue Authority,778,75.45,2023,November
Ngoma,E-Visa Service,Ministry of Health,2447,75.45,2024,July
Rulindo,Irembo Services,Ministry of Health,3515,74.4,2021,August
Karongi,eTax Portal,Rwanda Revenue Authority,2447,63.3,2021,March
Nyarugenge,Digital Health Records,National Land Authority,2836,75.45,2023,October
Gasabo,eTax Portal,Ministry of Health,2447,63.3,2022,November
Rulindo,E-Visa Service,National Land Authority,2447,75.45,2023,May
Musanze,eTax Portal,Ministry of Health,2447,75.45,2024,November
Nyarugenge,eTax Portal,Immigration Department,2447,75.45,2024,July
Burera,Online Business Registration,Ministry of Health,3490,90.5,2024,July
Huye,E-Visa Service,Ministry of Health,2376,75.45,2024,August
Nyanza,Digital Health Records,Ministry of ICT,2964,75.45,2024,February
Rusizi,Irembo Services,Immigration Department,2447,94.6,2022,November
Rubavu,Irembo Services,Immigration Department,2447,75.45,2021,February
Bugesera,Irembo Services,National Land Authority,2447,65.8,2023,January
Nyarugenge,Irembo Services,National Land Authority,4542,75.45,2023,February
Nyagatare,Digital Health Records,Ministry of Health,445,75.45,2024,July
Bugesera,Irembo Services,Rwanda Revenue Authority,4221,75.45,2023,September
Ngoma,E-Visa Service,Ministry of Health,2447,95.1,2024,December
Rwamagana,E-Visa Service,Ministry of ICT,767,91.3,2022,May
Rulindo,eTax Portal,Ministry of Health,2447,83,2022,December
Burera,Online Business Registration,Ministry of ICT,193,72.5,2021,June
Ngoma,Land Registration Portal,Ministry of Health,3190,75.45,2022,August
Nyanza,Irembo Services,National Land Authority,4541,72.5,2022,August
Gasabo,Land Registration Portal,Ministry of Health,2988,75.45,2021,June
Burera,Land Registration Portal,National Land Authority,3686,99.4,2023,October
Ngoma,Land Registration Portal,Rwanda Revenue Authority,1217,84,2024,January
Musanze,eTax Portal,Rwanda Revenue Authority,1112,51.9,2024,Unknown
Rubavu,E-Visa Service,Immigration Department,2447,85.8,2023,February
Rusizi,Irembo Services,Ministry of Health,2447,90.1,2021,Unknown
Musanze,Digital Health Records,Immigration Department,1206,50.6,2023,December
Musanze,eTax Portal,Ministry of Health,782,75.45,2022,February
Burera,E-Visa Service,Rwanda Revenue Authority,2447,75.45,2021,December
Rubavu,Digital Health Records,Ministry of ICT,2447,75.45,2021,August
Rusizi,E-Visa Service,Immigration Department,2447,88.7,2021,November
Ngoma,Irembo Services,Immigration Department,2447,89.2,2024,November
Huye,eTax Portal,Rwanda Revenue Authority,2447,58.7,2023,December
Karongi,Land Registration Portal,Rwanda Revenue Authority,3043,75.45,2021,June
Huye,eTax Portal,Ministry of ICT,2447,75.45,2021,Unknown
Rusizi,eTax Portal,Immigration Department,1590,71.2,2021,February
Nyanza,Irembo Services,Rwanda Revenue Authority,2447,75.45,2023,August
Kayonza,Land Registration Portal,Rwanda Revenue Authority,2447,75.45,2024,September
Rusizi,Land Registration Portal,Ministry of ICT,1438,88.5,2022,July
Kicukiro,Online Business Registration,Ministry of ICT,2447,98.8,2024,April
Nyarugenge,Online Business Registration,National Land Authority,1730,60.3,2021,July
Nyamagabe,E-Visa Service,Ministry of Health,4362,75.45,2024,Unknown
